"ProductId","Image Url","Video Url","Product Desc","Origin Price","Discount Price","Discount","Currency","Commission Rate","Commission","Sales180Day","Positive Feedback","Promotion Url"
"1005003188053887","https://ae04.alicdn.com/kf/He0919d5342d7485dae00f9c44428353dQ.jpg","http://cloud.video.taobao.com/play/u/2675628091/p/1/e/6/t/1/325709343064.mp4","Rc Fire Truck Remote Control Car Truck Rescue 2.4g Fireman Radio Controlled Cars Water Jet Ladder Fire Engine Toys For Boys Gift","USD 47.67","USD 33.85","29%","USD","7","USD 2.37","21","80.0%","https://s.click.aliexpress.com/e/_Dmhyo91"
"1005003055838623","https://ae04.alicdn.com/kf/H71463b24391b46898315a824b4069cf6V.jpg",,"Large EPP Craft Foam Fall Resistant 2CH Stunt Flying Glider Long Battery Life Air Fortress Bomber RC Airplane Model Kid Toy GIft","USD 45.98","USD 22.99","50%","USD","8.0","USD 1.84","25","100.0%","https://s.click.aliexpress.com/e/_DdEhnlz"
"1005003958483597","https://ae04.alicdn.com/kf/Sab8d16466d47438e972781038e580a59Y.jpg","http://cloud.video.taobao.com/play/u/2675628091/p/1/e/6/t/1/349364826689.mp4","FX-820 SU-35 RC Remote Control Airplane 2.4G Glider RC Drone Fighter Hobby Plane Glider Airplane EPP Foam Toys RC Plane Outdoor","USD 28.49","USD 20.23","29%","USD","7","USD 1.42","115","96.0%","https://s.click.aliexpress.com/e/_DkjC23d"
"1005003412987218","https://ae04.alicdn.com/kf/Ha63d39fe087544a88d34b33c42067963I.jpg","http://cloud.video.taobao.com/play/u/2675628091/p/1/e/6/t/1/331133129077.mp4","SU-35 Glider RC Plane Wingspan RC Remote Radio Control Drones Airplanes RTF UAV Xmas Children Gift Assembled Flying Model Toys","USD 13.31","USD 7.99","40%","USD","8.0","USD 0.64","47","null%","https://s.click.aliexpress.com/e/_DkkDItt"
"1005004180778309","https://ae04.alicdn.com/kf/S454b6934ac554bd6b6be86e4d038faafS.jpg","http://cloud.video.taobao.com/play/u/2675628091/p/1/e/6/t/1/1100053921118.mp4","Funny RC Shark Toy Remote Control Animals Robots Bath Tub Pool Electric Toys Summer Swimming Pool Water Cars Ship Submarine Kids","USD 11.09","USD 7.54","32%","USD","7","USD 0.53","51","95.6%","https://s.click.aliexpress.com/e/_DBqDaUP"
"1005002341156031","https://ae04.alicdn.com/kf/H1cddd06ec46f499687bc4fdd288afeacc.jpg","http://cloud.video.taobao.com/play/u/2675628091/p/1/e/6/t/1/353755674292.mp4","RC Speedboat Boat High-speed Electric Children Remote Control Toy Educational Toys For Outdoor Beach Toys #WO","USD 5.98","USD 2.99","50%","USD","8.0","USD 0.24","42","66.7%","https://s.click.aliexpress.com/e/_DD1OjwR"
"1005003899771972","https://ae04.alicdn.com/kf/Sc5f0f8f8b0e14b56b8305222b637db57m.jpg","http://cloud.video.taobao.com/play/u/2675628091/p/1/e/6/t/1/348499659362.mp4","RC Remote SU-35 FX-620 Radio Control Airplane 2.4G Remote Control Fighter Plane Glider Airplane EPP Foam Model Toys Kids Gift","USD 38.51","USD 20.41","47%","USD","8.0","USD 1.63","1345","92.2%","https://s.click.aliexpress.com/e/_Dd45pgL"
"1005003490044595","https://ae04.alicdn.com/kf/S7d11c94cb0174ab4825baa289cb05026H.jpg","http://cloud.video.taobao.com/play/u/2675628091/p/1/e/6/t/1/341616647866.mp4","4DRC 2021 New Mini Drone With Wide Angle HD 4K 1080P Dual Camera WiFi Fpv RC Foldable Quadcopter Dron Gift Toys","USD 37.48","USD 18.37","51%","USD","8.0","USD 1.47","354","93.2%","https://s.click.aliexpress.com/e/_DetRFM7"
"1005004351572969","https://ae04.alicdn.com/kf/S68d17c493eda4183b680714bab62d1ffl.jpg","http://cloud.video.taobao.com/play/u/2675628091/p/1/e/6/t/1/1100054123020.mp4","Double E 1/8 RC Truck Dirt Bike cars and trucks rc offroad 4x4 Large remote control car 4WD Electric truck Toys for adults boy","USD 298.06","USD 146.05","51%","USD","8.0","USD 11.68","26","100.0%","https://s.click.aliexpress.com/e/_DmQOdZV"
"1005003559401769","https://ae04.alicdn.com/kf/Hd2b384e1a00e4dcfb057a203e5a6126by.jpg",,"Infant Tv Remote Control Toy Realistic Lights Musical Learning Toddler Toys Developmental Infant Gifts For Baby Toddler Toy","USD 3.89","USD 2.72","30%","USD","7","USD 0.19","35","97.8%","https://s.click.aliexpress.com/e/_DEIwhU7"
"1005004115423052","https://ae04.alicdn.com/kf/Sa0ea1a247ebd4e4c87c70d03598aa44aB.jpg","http://cloud.video.taobao.com/play/u/2675628091/p/1/e/6/t/1/1100048073798.mp4","Go Go Bird Remote Control Flying Toy Mini RC Helicopter Drone-Tech Toys Smart Bionic Flapping Wings Flying Birds for Kids Adults","USD 49.00","USD 39.20","20%","USD","7","USD 2.74","23","91.3%","https://s.click.aliexpress.com/e/_DdfNGkr"
"1005003501204267","https://ae04.alicdn.com/kf/H796358801ff84b859d8c910fdc41b2d3Q.jpg","http://cloud.video.taobao.com/play/u/2675628091/p/1/e/6/t/1/336210319225.mp4","2.4G RC Dinosaur Raptor Jurassic Remote Control Velociraptor Toy Electric Walking Dino dragon Toys For Childrens Christmas Gifts","USD 14.06","USD 7.73","45%","USD","7","USD 0.54","21","100.0%","https://s.click.aliexpress.com/e/_DeHD9IX"
